                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62766,                0.38717,                0.93384,                0.95844,                0.97941,                0.98773,                0.80436,                0.67489,                0.33517,                 0.9319,             0.00013969,             0.00013969,             0.00013969
                     37,                0.63099,                0.38582,                0.93719,                0.94716,                0.97792,                 0.9877,                0.81466,                0.67101,                0.32892,                0.92973,             0.00013068,             0.00013068,             0.00013068
                     38,                0.62257,                0.37994,                0.93853,                0.94974,                0.97837,                0.99045,                0.81854,                0.66542,                0.32517,                0.92814,             0.00012167,             0.00012167,             0.00012167
                     39,                0.62237,                0.37369,                0.93523,                0.95826,                0.98661,                0.98865,                0.81622,                0.66822,                0.32515,                0.92812,             0.00011266,             0.00011266,             0.00011266
                     40,                0.64015,                0.38383,                0.94041,                0.96303,                0.98406,                0.98717,                0.81531,                0.66642,                0.32194,                0.92495,             0.00010365,             0.00010365,             0.00010365
                     41,                0.61169,                0.32464,                0.90818,                0.96177,                0.98281,                0.98702,                0.82033,                0.66279,                0.32013,                0.92376,              9.464e-05,              9.464e-05,              9.464e-05
                     42,                0.60043,                 0.3271,                0.90514,                0.95409,                0.97191,                0.98686,                0.81775,                0.66442,                0.32139,                0.92166,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     43,                0.59433,                0.31313,                0.89845,                0.96099,                0.98502,                0.98763,                0.81048,                0.66383,                0.32213,                0.92336,             7.6622e-05,             7.6622e-05,             7.6622e-05
                     44,                0.58703,                0.30389,                0.89801,                0.96367,                 0.9846,                0.98716,                0.81316,                0.66083,                0.31331,                0.92513,             6.7613e-05,             6.7613e-05,             6.7613e-05
                     45,                0.58618,                0.30365,                0.89995,                0.96358,                0.98118,                0.98642,                0.81209,                0.66214,                0.31313,                0.92581,             5.8604e-05,             5.8604e-05,             5.8604e-05
                     46,                0.58875,                0.29777,                 0.9017,                0.95897,                0.98113,                0.98674,                0.81758,                 0.6617,                0.31383,                0.92518,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     47,                0.57673,                0.29405,                0.89711,                0.96142,                0.98084,                0.98899,                 0.8215,                  0.659,                 0.3051,                0.92432,             4.0586e-05,             4.0586e-05,             4.0586e-05
                     48,                0.57816,                0.29073,                0.89367,                0.95848,                0.98229,                0.98834,                0.81954,                   0.66,                0.30685,                0.92453,             3.1577e-05,             3.1577e-05,             3.1577e-05
                     49,                0.57685,                0.28951,                0.89588,                0.96271,                0.97037,                0.98605,                0.81906,                 0.6581,                0.30489,                0.92211,             2.2568e-05,             2.2568e-05,             2.2568e-05
                     50,                0.56766,                0.28645,                0.89293,                0.95579,                  0.987,                0.98675,                0.81903,                0.65682,                0.30164,                0.92188,             1.3559e-05,             1.3559e-05,             1.3559e-05
